timestamp,method,image_id,runtime_sec,image_path,output_path
2026-06-30 14:55:28,meanshift,2007_000925,1.332741,data/processed/images/val/2007_000925.jpg,results/pred_binary/meanshift/2007_000925.png
2026-06-30 14:55:28,slic,2007_000925,0.231026,data/processed/images/val/2007_000925.jpg,results/pred_binary/slic/2007_000925.png
2026-06-30 14:55:28,canny,2007_000999,0.006336,data/processed/images/val/2007_000999.jpg,results/pred_binary/canny/2007_000999.png
2026-06-30 14:55:28,meanshift,2007_000999,0.581872,data/processed/images/val/2007_000999.jpg,results/pred_binary/meanshift/2007_000999.png
2026-06-30 14:55:29,slic,2007_000999,0.244805,data/processed/images/val/2007_000999.jpg,results/pred_binary/slic/2007_000999.png
2026-06-30 14:55:29,canny,2007_001154,0.004984,data/processed/images/val/2007_001154.jpg,results/pred_binary/canny/2007_001154.png
2026-06-30 14:55:29,meanshift,2007_001154,0.448485,data/processed/images/val/2007_001154.jpg,results/pred_binary/meanshift/2007_001154.png
2026-06-30 14:55:29,slic,2007_001154,0.241727,data/processed/images/val/2007_001154.jpg,results/pred_binary/slic/2007_001154.png
2026-06-30 14:55:29,canny,2007_001175,0.006250,data/processed/images/val/2007_001175.jpg,results/pred_binary/canny/2007_001175.png
2026-06-30 14:55:31,meanshift,2007_001175,1.155637,data/processed/images/val/2007_001175.jpg,results/pred_binary/meanshift/2007_001175.png
2026-06-30 14:55:31,slic,2007_001175,0.239244,data/processed/images/val/2007_001175.jpg,results/pred_binary/slic/2007_001175.png
2026-06-30 14:55:31,canny,2007_001239,0.005076,data/processed/images/val/2007_001239.jpg,results/pred_binary/canny/2007_001239.png
2026-06-30 14:55:31,meanshift,2007_001239,0.597846,data/processed/images/val/2007_001239.jpg,results/pred_binary/meanshift/2007_001239.png
2026-06-30 14:55:32,slic,2007_001239,0.242421,data/processed/images/val/2007_001239.jpg,results/pred_binary/slic/2007_001239.png
2026-06-30 14:55:32,canny,2007_001284,0.005944,data/processed/images/val/2007_001284.jpg,results/pred_binary/canny/2007_001284.png
2026-06-30 14:55:33,meanshift,2007_001284,1.404247,data/processed/images/val/2007_001284.jpg,results/pred_binary/meanshift/2007_001284.png
2026-06-30 14:55:33,slic,2007_001284,0.235996,data/processed/images/val/2007_001284.jpg,results/pred_binary/slic/2007_001284.png
2026-06-30 14:55:33,canny,2007_001288,0.004572,data/processed/images/val/2007_001288.jpg,results/pred_binary/canny/2007_001288.png
2026-06-30 14:55:34,meanshift,2007_001288,0.446644,data/processed/images/val/2007_001288.jpg,results/pred_binary/meanshift/2007_001288.png
2026-06-30 14:55:34,slic,2007_001288,0.210434,data/processed/images/val/2007_001288.jpg,results/pred_binary/slic/2007_001288.png
2026-06-30 14:55:34,canny,2007_001289,0.004174,data/processed/images/val/2007_001289.jpg,results/pred_binary/canny/2007_001289.png
2026-06-30 14:55:34,meanshift,2007_001289,0.500299,data/processed/images/val/2007_001289.jpg,results/pred_binary/meanshift/2007_001289.png
2026-06-30 14:55:35,slic,2007_001289,0.195538,data/processed/images/val/2007_001289.jpg,results/pred_binary/slic/2007_001289.png
2026-06-30 14:55:35,canny,2007_001299,0.008329,data/processed/images/val/2007_001299.jpg,results/pred_binary/canny/2007_001299.png
2026-06-30 14:55:36,meanshift,2007_001299,1.236406,data/processed/images/val/2007_001299.jpg,results/pred_binary/meanshift/2007_001299.png
2026-06-30 14:55:36,slic,2007_001299,0.292230,data/processed/images/val/2007_001299.jpg,results/pred_binary/slic/2007_001299.png
2026-06-30 14:55:36,canny,2007_001311,0.005205,data/processed/images/val/2007_001311.jpg,results/pred_binary/canny/2007_001311.png
2026-06-30 14:55:37,meanshift,2007_001311,1.153872,data/processed/images/val/2007_001311.jpg,results/pred_binary/meanshift/2007_001311.png
2026-06-30 14:55:38,slic,2007_001311,0.204784,data/processed/images/val/2007_001311.jpg,results/pred_binary/slic/2007_001311.png
2026-06-30 14:55:38,canny,2007_001321,0.005356,data/processed/images/val/2007_001321.jpg,results/pred_binary/canny/2007_001321.png
2026-06-30 14:55:38,meanshift,2007_001321,0.628734,data/processed/images/val/2007_001321.jpg,results/pred_binary/meanshift/2007_001321.png
2026-06-30 14:55:38,slic,2007_001321,0.198084,data/processed/images/val/2007_001321.jpg,results/pred_binary/slic/2007_001321.png
2026-06-30 14:55:38,canny,2007_001377,0.004756,data/processed/images/val/2007_001377.jpg,results/pred_binary/canny/2007_001377.png
2026-06-30 14:55:39,meanshift,2007_001377,0.384936,data/processed/images/val/2007_001377.jpg,results/pred_binary/meanshift/2007_001377.png
2026-06-30 14:55:39,slic,2007_001377,0.244266,data/processed/images/val/2007_001377.jpg,results/pred_binary/slic/2007_001377.png
2026-06-30 14:55:39,canny,2007_001408,0.006541,data/processed/images/val/2007_001408.jpg,results/pred_binary/canny/2007_001408.png
2026-06-30 14:55:40,meanshift,2007_001408,1.090254,data/processed/images/val/2007_001408.jpg,results/pred_binary/meanshift/2007_001408.png
2026-06-30 14:55:40,slic,2007_001408,0.207836,data/processed/images/val/2007_001408.jpg,results/pred_binary/slic/2007_001408.png
2026-06-30 14:55:40,canny,2007_001423,0.013453,data/processed/images/val/2007_001423.jpg,results/pred_binary/canny/2007_001423.png
2026-06-30 14:55:41,meanshift,2007_001423,0.323749,data/processed/images/val/2007_001423.jpg,results/pred_binary/meanshift/2007_001423.png
2026-06-30 14:55:41,slic,2007_001423,0.215456,data/processed/images/val/2007_001423.jpg,results/pred_binary/slic/2007_001423.png
2026-06-30 14:55:41,canny,2007_001430,0.005209,data/processed/images/val/2007_001430.jpg,results/pred_binary/canny/2007_001430.png
2026-06-30 14:55:42,meanshift,2007_001430,1.008855,data/processed/images/val/2007_001430.jpg,results/pred_binary/meanshift/2007_001430.png
2026-06-30 14:55:42,slic,2007_001430,0.248755,data/processed/images/val/2007_001430.jpg,results/pred_binary/slic/2007_001430.png
2026-06-30 14:55:42,canny,2007_001457,0.005846,data/processed/images/val/2007_001457.jpg,results/pred_binary/canny/2007_001457.png
2026-06-30 14:55:43,meanshift,2007_001457,0.447302,data/processed/images/val/2007_001457.jpg,results/pred_binary/meanshift/2007_001457.png
2026-06-30 14:55:43,slic,2007_001457,0.250122,data/processed/images/val/2007_001457.jpg,results/pred_binary/slic/2007_001457.png
2026-06-30 14:55:43,canny,2007_001458,0.004981,data/processed/images/val/2007_001458.jpg,results/pred_binary/canny/2007_001458.png
2026-06-30 14:55:44,meanshift,2007_001458,1.103276,data/processed/images/val/2007_001458.jpg,results/pred_binary/meanshift/2007_001458.png
2026-06-30 14:55:44,slic,2007_001458,0.221334,data/processed/images/val/2007_001458.jpg,results/pred_binary/slic/2007_001458.png
2026-06-30 14:55:44,canny,2007_001526,0.005274,data/processed/images/val/2007_001526.jpg,results/pred_binary/canny/2007_001526.png
2026-06-30 14:55:45,meanshift,2007_001526,0.951409,data/processed/images/val/2007_001526.jpg,results/pred_binary/meanshift/2007_001526.png
2026-06-30 14:55:45,slic,2007_001526,0.190773,data/processed/images/val/2007_001526.jpg,results/pred_binary/slic/2007_001526.png
2026-06-30 14:55:45,canny,2007_001568,0.004661,data/processed/images/val/2007_001568.jpg,results/pred_binary/canny/2007_001568.png
2026-06-30 14:55:46,meanshift,2007_001568,0.538826,data/processed/images/val/2007_001568.jpg,results/pred_binary/meanshift/2007_001568.png
2026-06-30 14:55:46,slic,2007_001568,0.203361,data/processed/images/val/2007_001568.jpg,results/pred_binary/slic/2007_001568.png
2026-06-30 14:55:46,canny,2007_001585,0.010605,data/processed/images/val/2007_001585.jpg,results/pred_binary/canny/2007_001585.png
2026-06-30 14:55:47,meanshift,2007_001585,0.667500,data/processed/images/val/2007_001585.jpg,results/pred_binary/meanshift/2007_001585.png
2026-06-30 14:55:47,slic,2007_001585,0.311328,data/processed/images/val/2007_001585.jpg,results/pred_binary/slic/2007_001585.png
2026-06-30 14:55:47,canny,2007_001586,0.005672,data/processed/images/val/2007_001586.jpg,results/pred_binary/canny/2007_001586.png
2026-06-30 14:55:49,meanshift,2007_001586,1.361607,data/processed/images/val/2007_001586.jpg,results/pred_binary/meanshift/2007_001586.png
2026-06-30 14:55:49,slic,2007_001586,0.249992,data/processed/images/val/2007_001586.jpg,results/pred_binary/slic/2007_001586.png
2026-06-30 14:55:49,canny,2007_001587,0.006218,data/processed/images/val/2007_001587.jpg,results/pred_binary/canny/2007_001587.png
2026-06-30 14:55:50,meanshift,2007_001587,1.501720,data/processed/images/val/2007_001587.jpg,results/pred_binary/meanshift/2007_001587.png
2026-06-30 14:55:51,slic,2007_001587,0.257746,data/processed/images/val/2007_001587.jpg,results/pred_binary/slic/2007_001587.png
2026-06-30 14:55:51,canny,2007_001594,0.005389,data/processed/images/val/2007_001594.jpg,results/pred_binary/canny/2007_001594.png
2026-06-30 14:55:51,meanshift,2007_001594,0.511684,data/processed/images/val/2007_001594.jpg,results/pred_binary/meanshift/2007_001594.png
2026-06-30 14:55:51,slic,2007_001594,0.217034,data/processed/images/val/2007_001594.jpg,results/pred_binary/slic/2007_001594.png
2026-06-30 14:55:51,canny,2007_001630,0.006887,data/processed/images/val/2007_001630.jpg,results/pred_binary/canny/2007_001630.png
2026-06-30 14:55:53,meanshift,2007_001630,1.894380,data/processed/images/val/2007_001630.jpg,results/pred_binary/meanshift/2007_001630.png
2026-06-30 14:55:54,slic,2007_001630,0.251981,data/processed/images/val/2007_001630.jpg,results/pred_binary/slic/2007_001630.png
2026-06-30 14:55:54,canny,2007_001677,0.005485,data/processed/images/val/2007_001677.jpg,results/pred_binary/canny/2007_001677.png
2026-06-30 14:55:54,meanshift,2007_001677,0.836841,data/processed/images/val/2007_001677.jpg,results/pred_binary/meanshift/2007_001677.png
2026-06-30 14:55:55,slic,2007_001677,0.275287,data/processed/images/val/2007_001677.jpg,results/pred_binary/slic/2007_001677.png
2026-06-30 14:55:55,canny,2007_001678,0.005781,data/processed/images/val/2007_001678.jpg,results/pred_binary/canny/2007_001678.png
2026-06-30 14:55:56,meanshift,2007_001678,1.076791,data/processed/images/val/2007_001678.jpg,results/pred_binary/meanshift/2007_001678.png
2026-06-30 14:55:56,slic,2007_001678,0.216112,data/processed/images/val/2007_001678.jpg,results/pred_binary/slic/2007_001678.png
2026-06-30 14:55:56,canny,2007_001717,0.005444,data/processed/images/val/2007_001717.jpg,results/pred_binary/canny/2007_001717.png
2026-06-30 14:55:58,meanshift,2007_001717,1.967691,data/processed/images/val/2007_001717.jpg,results/pred_binary/meanshift/2007_001717.png
2026-06-30 14:55:58,slic,2007_001717,0.390082,data/processed/images/val/2007_001717.jpg,results/pred_binary/slic/2007_001717.png
2026-06-30 14:55:58,canny,2007_001733,0.007448,data/processed/images/val/2007_001733.jpg,results/pred_binary/canny/2007_001733.png
2026-06-30 14:55:59,meanshift,2007_001733,0.647574,data/processed/images/val/2007_001733.jpg,results/pred_binary/meanshift/2007_001733.png
2026-06-30 14:55:59,slic,2007_001733,0.488038,data/processed/images/val/2007_001733.jpg,results/pred_binary/slic/2007_001733.png
2026-06-30 14:56:00,canny,2007_001761,0.005298,data/processed/images/val/2007_001761.jpg,results/pred_binary/canny/2007_001761.png
2026-06-30 14:56:00,meanshift,2007_001761,0.467656,data/processed/images/val/2007_001761.jpg,results/pred_binary/meanshift/2007_001761.png
2026-06-30 14:56:00,slic,2007_001761,0.215629,data/processed/images/val/2007_001761.jpg,results/pred_binary/slic/2007_001761.png
2026-06-30 14:56:00,canny,2007_001763,0.005508,data/processed/images/val/2007_001763.jpg,results/pred_binary/canny/2007_001763.png
2026-06-30 14:56:01,meanshift,2007_001763,0.639633,data/processed/images/val/2007_001763.jpg,results/pred_binary/meanshift/2007_001763.png
2026-06-30 14:56:01,slic,2007_001763,0.252041,data/processed/images/val/2007_001763.jpg,results/pred_binary/slic/2007_001763.png
2026-06-30 14:56:01,canny,2007_001774,0.005218,data/processed/images/val/2007_001774.jpg,results/pred_binary/canny/2007_001774.png
2026-06-30 14:56:02,meanshift,2007_001774,0.514354,data/processed/images/val/2007_001774.jpg,results/pred_binary/meanshift/2007_001774.png
2026-06-30 14:56:02,slic,2007_001774,0.249070,data/processed/images/val/2007_001774.jpg,results/pred_binary/slic/2007_001774.png
2026-06-30 14:56:02,canny,2007_001884,0.005845,data/processed/images/val/2007_001884.jpg,results/pred_binary/canny/2007_001884.png
2026-06-30 14:56:03,meanshift,2007_001884,0.908198,data/processed/images/val/2007_001884.jpg,results/pred_binary/meanshift/2007_001884.png
2026-06-30 14:56:03,slic,2007_001884,0.270069,data/processed/images/val/2007_001884.jpg,results/pred_binary/slic/2007_001884.png
